Title,Author,Age,Genre,Format,Series,Series #,Year,Pages,Main Character(s),Love Interest(s),Side Character(s),Relationship,Identity,Race / Nationality,Disability,Mental Health,Neurodivergence,Content Warnings,Notes,Settings,Time Periods,Faiths,Tropes,Themes,Sub-Genres,Add'l Rep,Add'l Tags,Add'l Notes
Proxy,"London, Alex",YA,Sci-Fi,print,Proxy,1,2013,384,gay male,,,,mlm,,,,,,,,future,,,,dystopia,,Male MC,
The Song of Achilles,"Miller, Madeline",Adult,"Fantasy, Historical","audio-cd, audio, ebook, print",,,2011,352,Greek bisexual male,Greek gay male,,MM,"mga, mlm",EU,,,,,,"europe, greece",ancient-B.C.,,,,mythology,,Male MC,"achilles, greek mythology"
If I Was Your Girl,"Russo, Meredith",YA,"Fiction, Romance","audio, print",,,2016,280,transgender female,straight cisgender male,bisexual female; lesbian female,FM,trans,,,,,"forced outing, attempted suicide (ref)",,,contemporary,,,,,,"award winner, female MC, QLL ebook",
Honor Among Thieves,"Caine, Rachel; Aguirre, Ann",YA,Sci-Fi,"ebook, print","Honors, The",1,2018,480,black bisexual female x Brazilian bisexual female x bisexual male in a polyamorous triad,,,FFM,"mga, poly, wlw","blk, lat",,,,inhuman rep,,space,,,,robots,space opera,,"bi4bi, female MC, Male MC",
The Armored Saint,"Cole, Myke",Adult,Fantasy,"audio, print","Sacred Throne, The",1,2018,200,lesbian female,,,,wlw,,,,,"homophobia (internalized), religious bigotry",,,"fantasy-, medieval",,,,steampunk,,"dark, epic, female MC",
Hunger Makes the Wolf,"Wells, Alex",Adult,Sci-Fi,"ebook, mass-pap","Ghost Wolves, The",1,2017,462,disabled female (lost one eye),,,,,,"a/p, blind",,,,,desert,,,,,western,,female MC,
Blood Binds the Pack,"Wells, Alex",Adult,Sci-Fi,"ebook, mass-pap","Ghost Wolves, The",2,2018,416,disabled female (lost one eye),,lesbian female; mute lesbian transgender female,,SC,,"a/p, blind",,,"transphobia, violence",TW note: attempted hanging of a trans female character,desert,,,,,western,,female MC,
Wake of Vultures,"Bowen, Lila",Adult,"Fantasy, Historical","ebook, print","Shadow, The",1,2015,342,black / Native American bisexual questioning transgender male,white gay cisgender male,,MM,"mga, mlm, trans","bi, blk, ind",,,,,,"north-america, usa",1800s,,,monsters,western,questioning,Male MC,
The Dime,"Kent, Kathleen",Adult,Mystery,"audio, ebook, print",Betty Rhyzyk,1,2017,352,lesbian female,,,,wlw,,,,,"kidnapping, torture, religious bigotry, attempted sexual assault",,"north-america, texas, usa",contemporary,,,,,,female MC,
The Root,"Tilahun, Na'amen Gobert",Adult,"Fantasy, Horror","ebook, print",Wrath & Athenaeum,1,2016,411,black gay male; black (possibly queer) female,,nonbinary; transgender male; lesbian couple; bisexual; Asian,,"mlm, queer",blk,,,,"body horror, inhuman rep",TW note: body horror descriptions of inhuman characters and walls made of flesh,,,,multiverse,aliens,superhero,,"female MC, Male MC",
Temper,"Drayden, Nicky",Adult,Sci-Fi,"audio, ebook, print",,,2018,385,(possibly) queer black male,,"nonbinary / intersex side characters in a world where everyone is born with a twin, and sometimes the genitalia gets ""mixed"" between them",,"inter, queer",blk,,,,"incest, drug use, explicit sex, cannibalism",TW note: implied past incest between twin brothers,fantasy-africa,,,,,dystopia,,Male MC,
The Priory of the Orange Tree,"Shannon, Samantha",Adult,Fantasy,"ebook, print",,,2019,848,lesbian female; older gay male,,,,"mlm, wlw",,,,,,,,,,,,high fantasy,older,"award winner, female MC, Male MC",
Ash,"Lo, Malinda",YA,Fantasy,"audio, ebook, print",,,2009,264,wlw female (possibly bisexual),lesbian female; male,,"FF, FM","mga, wlw",,,,,love triangle,,,,,,fae-elves,mythology,,female MC,"brothers grimm, cinderella"
Black Enough: Stories of Being Young and Black in America,"Zoboi, Ibi",YA,"Fiction, Romance","audio-cd, ebook, print",,,2019,416,"black questioning wlw female; biracial (half-white, half-black) bisexual female; gay male",,,,"mga, mlm, wlw","bi, blk",,,,,,,,,,,anthology,questioning,"female MC, Male MC",
Santa Olivia,"Carey, Jacqueline",Adult,"Fantasy, Sci-Fi","audio, print",Santa Olivia,1,2009,341,Latina-Haitian bisexual female,,setting: (technically between US and) Mexico,,mga,"bi, blk, car, lat",,,,racism (narrative),TW note: mixed race character described using food terms,"Mexico, north-america, texas, usa",,,,shapeshifters,superhero,,female MC,
Escapology,"Warom, Ren",Adult,Sci-Fi,ebook,Shock Pao,1,2016,448,Korean transgender male with a drug addiction,,,,trans,asn,,add-alc,,drug use,,,,,,,dystopia,,Male MC,
Once & Future,"Capetta, A. R.",YA,Fantasy,print,Once & Future,1,2019,336,straight female,,gay male,,SC,,,,,,"the MC is ""genderbent"" for this King Arthur retelling; she is NOT trans",,future,,,,mythology,,female MC,"king arthur, welsh mythology"
A Memory Called Empire,"Martine, Arkady",Adult,Sci-Fi,"ebook, print",Teixcalaan,1,2019,462,wlw female,wlw female,bisexual male; polyamorous triad,FF,wlw,,,,,"colonialism, racism",TW note: fantasy racism,,,,,robots,space opera,,"award winner, female MC",
The Truth About Keeping Secrets,"Brown, Savannah",YA,Mystery,ebook,,,2019,336,white lesbian female,"biracial (black/white) bisexual female with anxiety, depression, and PTSD",black gay male; bisexual; East Asian,FF,"mga, wlw","bi, blk",,"anx, dep, ptsd",,"emotional abuse (ref), physical abuse (ref), sexual assault (ref), forced outing, self-harm, suicide",,,contemporary,,,,thriller,,female MC,
The Weight of the Stars,"Ancrum, K.",YA,"Romance, Sci-Fi","audio, print",,,2019,384,black butch lesbian female,biracial (black/white) lesbian female,mute black bisexual male who is also a teenage father; Sikh best friend who has two dads and a mom in a polyamorous relationship,FF,wlw,"bi, blk",SC,,,,,,,,,,,butch,female MC,
Not Your Villain,"Lee, C. B.",Teen,"Fantasy, Sci-Fi","audio, ebook, print",Sidekick Squad,2,2017,307,black transgender male,,aromantic-asexual Chinese female SC,,trans,blk,,,,,,,,,,,superhero,,"Male MC, QLL ebook",
Spy Stuff,"Metzger, Matthew J.",YA,"Fiction, Romance",ebook,,,2016,226,gay transgender male,questioning bisexual cisgender male,,MM,"mga, mlm, trans",,,,,,,,contemporary,,,,,questioning,"Male MC, spanish",
Pantomime,"Lam, L. R.",YA,Fantasy,N/A,Micah Grey,1,2013,386,bisexual intersex genderfluid,,,,"inter, mga, nb",,,,,"death, abuse, violence, blood, gore, interphobia, homophobia, bullying, institutionalization",,,,,,,,,nonbinary MC,
Every Heart a Doorway,"McGuire, Seanan",YA,Fantasy,"audio-cd, audio, ebook, print",Wayward Children,1,2016,173,asexual female; transgender male,,Japanese; Latino,,"ace, trans",SC,,,,,"note: shelved as Adult, but it is clearly YA",,,,"found family, multiverse",,,,"female MC, Male MC, QLL audio",
The Abyss Surrounds Us,"Skrutskie, Emily",YA,Sci-Fi,ebook,"Abyss Surrounds Us, The",1,2016,273,lesbian female,lesbian female,,FF,wlw,,,,,kidnapping,TW note: the pirate captain who holds her hostage is NOT the love interest,,,,,"animals, monsters, pirates",,,"female MC, QLL audio, QLL ebook",
In Other Lands,"Brennan, Sarah Rees",YA,Fantasy,"audio, ebook, print",In Other Lands,1,2014,437,bisexual male,female (possible) LI; gay male (possible) LI,,"FM, MM",mga,,,,,inhuman rep,TW note: female LI is an elf,,,,,"fae-elves, mermaids",,,"award winner, Male MC, QLL ebook",
After the Eclipse,"Dorricott, Fran",Adult,Mystery,"ebook, print",,,2019,448,lesbian female,bisexual female,,FF,"mga, wlw",,,,,,,,contemporary,,,,thriller,,female MC,
Want,"Pon, Cindy",YA,Sci-Fi,print,Want,1,2017,328,Taiwanese (Han ethnicity) male,Asian female,Filipinno male; Indian male; Chinese bisexual female x Asian wlw female,FM,SC,asn,,,,,,"asia, taiwan",future,,,,dystopia,,Male MC,
The Light Brigade,"Hurley, Kameron",Adult,Sci-Fi,"ebook, print",,,2019,356,"bisexual nonbinary (ish) MC who does have their gender revealed at the end of the book, but otherwise is not gendered",,,,"mga, nb",,,,,,,,,,time travel,,dystopia,,nonbinary MC,
"The Long Way to a Small, Angry Planet","Chambers, Becky",Adult,Sci-Fi,"audio, ebook, print",Wayfarers,1,2014,518,(possibly polyamorous) wlw female,polyamorous pansexual female (alien),male with dwarfism; autistic-coded male,FF,"mga, poly, wlw",,SC,,SC,inhuman rep,,space,,,,aliens,space opera,,"award winner, female MC, QLL ebook",
